                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.54107,                0.82854,                0.38202,                0.90277,                0.76341,                0.48148,                0.60556,                0.32713,                0.85815,                0.46561,                0.60638,                0.32572,                 1.7085,                 2.8799,                 1.4402,                 1.7995,               0.004456,               0.004456,               0.004456
                     58,                0.54437,                0.77603,                0.38896,                0.90182,                0.80033,                0.51852,                0.63222,                0.34426,                0.80429,                0.49735,                0.60937,                0.34022,                 1.6581,                 2.7578,                 1.3833,                 1.7689,               0.004357,               0.004357,               0.004357
                     59,                0.54457,                0.78666,                0.38476,                0.90382,                0.66489,                0.59838,                0.63391,                0.36652,                0.68026,                0.57672,                0.62134,                 0.3628,                 1.6539,                 2.6328,                 1.3716,                 1.7102,               0.004258,               0.004258,               0.004258
                     60,                0.51551,                0.81686,                   0.37,                0.90349,                0.70092,                 0.5952,                0.64351,                0.35487,                0.70439,                0.58201,                0.62614,                0.34285,                 1.6398,                 2.7312,                 1.3164,                 1.7579,               0.004159,               0.004159,               0.004159
                     61,                0.49784,                0.78599,                 0.3511,                0.89824,                0.82061,                0.49206,                0.62543,                0.34868,                0.82448,                0.49735,                0.61554,                0.34038,                 1.6692,                 2.6579,                 1.5224,                 1.6862,                0.00406,                0.00406,                0.00406
                     62,                0.53058,                  0.765,                0.36945,                0.91241,                0.67576,                0.51323,                0.57461,                0.32796,                0.70351,                0.49206,                0.55257,                0.31247,                 1.6449,                  2.665,                 1.5349,                 1.6853,               0.003961,               0.003961,               0.003961
                     63,                  0.502,                  0.713,                0.35088,                0.90472,                0.62307,                0.51852,                0.56105,                0.30416,                0.61433,                0.54783,                0.56676,                0.29765,                 1.6943,                 2.8392,                 1.6565,                 1.6946,               0.003862,               0.003862,               0.003862
                     64,                0.51249,                0.78495,                0.36056,                0.89843,                0.66244,                0.50265,                0.52722,                0.29234,                0.70691,                0.53439,                0.56227,                0.28177,                 1.6654,                 2.9562,                 1.6328,                 1.6836,               0.003763,               0.003763,               0.003763
                     65,                0.50745,                0.78723,                0.36401,                  0.897,                0.76507,                 0.4709,                 0.5747,                0.32233,                0.79086,                0.48677,                0.58233,                0.31646,                 1.6789,                 2.7103,                 1.5146,                 1.6981,               0.003664,               0.003664,               0.003664
                     66,                0.49804,                0.75955,                0.34528,                0.88349,                0.70064,                 0.5201,                0.57388,                0.34173,                 0.7069,                0.52381,                0.58275,                0.33525,                 1.5894,                 2.6278,                  1.557,                 1.6365,               0.003565,               0.003565,               0.003565
                     67,                0.49278,                 0.7602,                0.35997,                0.89067,                0.70225,                0.50794,                0.57583,                0.35439,                0.73473,                0.51323,                0.59211,                0.34257,                 1.5499,                 2.6519,                 1.6277,                 1.6194,               0.003466,               0.003466,               0.003466
                     68,                0.48532,                0.82563,                0.34555,                0.88556,                 0.7133,                0.49735,                0.56727,                0.34013,                0.68889,                0.51852,                0.57091,                 0.3369,                 1.5808,                 2.6407,                 1.6533,                 1.6526,               0.003367,               0.003367,               0.003367
                     69,                0.50063,                0.76711,                0.36132,                0.90496,                 0.6796,                0.51323,                0.57598,                0.33304,                0.71002,                0.53439,                0.58641,                0.34147,                 1.6439,                 2.6177,                 1.5583,                 1.7007,               0.003268,               0.003268,               0.003268
                     70,                0.49597,                0.75333,                0.33658,                0.88979,                0.68417,                0.53439,                 0.5727,                0.33765,                0.70691,                 0.5291,                0.57701,                0.33541,                 1.5624,                 2.5664,                 1.6946,                 1.6014,               0.003169,               0.003169,               0.003169
                     71,                0.49598,                0.71147,                0.34062,                0.89043,                0.70698,                0.49206,                0.56415,                0.34907,                 0.7087,                0.49206,                0.57089,                0.33411,                 1.5753,                 2.6788,                 1.7115,                 1.5931,                0.00307,                0.00307,                0.00307
                     72,                0.50262,                0.73937,                0.34946,                0.89352,                 0.7586,                0.49206,                0.58314,                0.35511,                0.70928,                0.51634,                0.59541,                0.35676,                 1.5772,                 2.6048,                 1.6744,                 1.5614,               0.002971,               0.002971,               0.002971
                     73,                0.46828,                0.68944,                0.32968,                0.89107,                0.74486,                0.50265,                0.59342,                0.36584,                0.73702,                0.49735,                0.60273,                0.35793,                 1.5821,                 2.6293,                  1.643,                 1.6102,               0.002872,               0.002872,               0.002872
                     74,                 0.4864,                 0.7374,                0.33481,                0.89849,                0.72399,                 0.5291,                0.61114,                0.38094,                0.71675,                0.52381,                 0.6183,                0.36983,                 1.5503,                 2.6424,                 1.5639,                 1.5724,               0.002773,               0.002773,               0.002773
                     75,                0.46097,                0.76041,                0.33343,                0.87549,                0.71058,                0.54497,                0.59832,                 0.3701,                0.70743,                0.53733,                0.61046,                0.35198,                 1.6127,                 2.6572,                 1.6756,                 1.6531,               0.002674,               0.002674,               0.002674
                     76,                0.46406,                0.72175,                0.32313,                0.89396,                0.61652,                0.49206,                0.53971,                0.33404,                0.77705,                 0.4127,                0.53765,                0.31039,                 1.6438,                 2.8771,                 1.8618,                 1.6826,               0.002575,               0.002575,               0.002575
                     77,                0.48981,                0.75357,                0.34031,                0.87858,                0.69829,                0.50265,                0.57764,                0.34888,                0.69829,                0.50265,                 0.5796,                0.33672,                 1.5962,                 2.7401,                 1.6696,                 1.6301,               0.002476,               0.002476,               0.002476
